11,/sports/m-footbl/mtt/micah_parsons_1066801.html,Micah Parsons,LB,1,FR/FR,75,6-3/241,Harrisburg, Pa./Harrisburg,
16,/sports/m-footbl/mtt/john_petrishen_975806.html,John Petrishen,S,7,SR/JR,72,6-0/204,Lower Burrell, Pa./Pittsburgh Central Catholic,
10,/sports/m-footbl/mtt/brandon_polk_975816.html,Brandon Polk,WR,7,SR/JR,69,5-9/171,Ashburn, Va./Briar Woods,
58,/sports/m-footbl/mtt/evan_presta_1053768.html,Evan Presta,DT,3,SO/FR,75,6-3/272,Erie, Pa./Cathedral Prep,
29,/sports/m-footbl/mtt/john_reid_975808.html,John Reid,CB,7,SR/JR,70,5-10/189,Mount Laurel, N.J./St. Joseph's Prep,
24,/sports/m-footbl/mtt/miles_sanders_1019779.html,Miles Sanders,RB,5,JR/JR,71,5-11/211,Pittsburgh, Pa./Woodland Hills,
4,/sports/m-footbl/mtt/nick_scott_905748.html,Nick Scott,S,7,SR/SR,71,5-11/202,Fairfax, Va./Fairfax,
55,/sports/m-footbl/mtt/antonio_shelton_1019780.html,Antonio Shelton,DT,5,JR/SO,74,6-2/295,Westerville, Ohio/Westerville-North,
82,/sports/m-footbl/mtt/tyler_shoop_975818.html,Tyler Shoop,WR,7,SR/JR,71,5-11/181,Nashville, Tenn./Father Ryan,
79,/sports/m-footbl/mtt/charlie_shuman_907378.html,Charlie Shuman,OL,7,SR/SR,80,6-8/319,Pittsford, N.Y./Pittsford Sutherland,
15,/sports/m-footbl/mtt/michael_shuster_1019784.html,Michael Shuster,QB,5,JR/SO,74,6-2/208,Camp Hill, Pa./Camp Hill,
34,/sports/m-footbl/mtt/shane_simmons_1019781.html,Shane Simmons,DE,5,JR/SO,75,6-3/246,Laurel, Md./DeMatha,
64,/sports/m-footbl/mtt/zach_simpson_980749.html,Zach Simpson,OL,7,SR/JR,75,6-3/294,Hollidaysburg, Pa./Hollidaysburg Area,
2,/sports/m-footbl/mtt/tommy_stevens_944875.html,Tommy Stevens,QB,7,SR/JR,77,6-5/232,Indianapolis, Ind./Decatur Central,
